organism,drug_code,drug_name,drug_class,omega,period,AIC,month,seasonal_deviate,sem
E. coli,NIT,Nitrofurantoin,Nitrofurans,0.5235987755982988,12,199824.5513925181,4,0.0031962119640394655,0.006985333112744764
E. coli,NIT,Nitrofurantoin,Nitrofurans,0.5235987755982988,12,199824.5513925181,5,0.026930494494146945,0.007271607017617243
E. coli,NIT,Nitrofurantoin,Nitrofurans,0.5235987755982988,12,199824.5513925181,6,-0.0041568412175130515,0.006906287953159514
E. coli,NIT,Nitrofurantoin,Nitrofurans,0.5235987755982988,12,199824.5513925181,7,-0.020960007011292896,0.006612047518157993
E. coli,NIT,Nitrofurantoin,Nitrofurans,0.5235987755982988,12,199824.5513925181,8,-0.025692511644435433,0.006436388240243432
E. coli,NIT,Nitrofurantoin,Nitrofurans,0.5235987755982988,12,199824.5513925181,9,-0.03541780623177912,0.006484468731814532
E. coli,NIT,Nitrofurantoin,Nitrofurans,0.5235987755982988,12,199824.5513925181,10,-0.022924840586607317,0.006732962207026852
E. coli,NIT,Nitrofurantoin,Nitrofurans,0.5235987755982988,12,199824.5513925181,11,-0.0061136398248811934,0.007184629236243633
E. coli,NIT,Nitrofurantoin,Nitrofurans,0.5235987755982988,12,199824.5513925181,12,0.013345580281891738,0.007177729106290381
E. coli,TET,Tetracycline,Tetracyclines,1.0471975511965976,6,421906.60762653785,1,-0.030210965674893796,0.01967309734774084
E. coli,TET,Tetracycline,Tetracyclines,1.0471975511965976,6,421906.60762653785,2,0.03937567330087774,0.02092996874958223
E. coli,TET,Tetracycline,Tetracyclines,1.0471975511965976,6,421906.60762653785,3,-0.005430797875173724,0.019781785541988752
E. coli,TET,Tetracycline,Tetracyclines,1.0471975511965976,6,421906.60762653785,4,-0.021796371962138402,0.019846096633210297
E. coli,TET,Tetracycline,Tetracyclines,1.0471975511965976,6,421906.60762653785,5,0.026264605468071,0.019183047885780385
E. coli,TET,Tetracycline,Tetracyclines,1.0471975511965976,6,421906.60762653785,6,0.018276966679587888,0.018879926304351594
E. coli,TET,Tetracycline,Tetracyclines,1.0471975511965976,6,421906.60762653785,7,-0.03456130629770822,0.0182521958102504
E. coli,TET,Tetracycline,Tetracyclines,1.0471975511965976,6,421906.60762653785,8,-0.02871800497145227,0.017820925887671143
E. coli,TET,Tetracycline,Tetracyclines,1.0471975511965976,6,421906.60762653785,9,0.008959845676047996,0.018065237410224488
E. coli,TET,Tetracycline,Tetracyclines,1.0471975511965976,6,421906.60762653785,10,0.021175421086104425,0.017923330217010508
E. coli,TET,Tetracycline,Tetracyclines,1.0471975511965976,6,421906.60762653785,11,-0.004215056686155782,0.018902945926097234
E. coli,TET,Tetracycline,Tetracyclines,1.0471975511965976,6,421906.60762653785,12,0.015188588489728105,0.019006993614468264
E. coli,TET,Tetracycline,Tetracyclines,0.5235987755982988,12,421906.92344800173,1,-0.011269360826483133,0.019673112342388763
