organism,drug_code,drug_name,drug_class,period,omega,AIC,month,seasonal_deviate,sem
S. aureus,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,82903.13317953203,4,-0.014261870239413523,0.0390649059753977
S. aureus,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,82903.13317953203,5,-0.014167998927974521,0.03734868736357035
S. aureus,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,82903.13317953203,6,-0.01219634950140569,0.0361708293157309
S. aureus,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,82903.13317953203,7,0.002521510777735968,0.03446805806695246
S. aureus,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,82903.13317953203,8,-0.04847322913553123,0.03279982354348575
S. aureus,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,82903.13317953203,9,-0.051100105152212597,0.03416203511163418
S. aureus,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,82903.13317953203,10,-0.05243556086692357,0.03471640659095868
S. aureus,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,82903.13317953203,11,0.011561274650436056,0.037398606369105296
S. aureus,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,82903.13317953203,12,0.026489682319137627,0.03821128399557248
S. aureus,ERY,Erythromycin,Macrolides,6,1.0471975511965976,101285.61052215184,1,0.013331819963480982,0.06051934682093752
S. aureus,ERY,Erythromycin,Macrolides,6,1.0471975511965976,101285.61052215184,2,0.011224918500588073,0.06315526923204756
S. aureus,ERY,Erythromycin,Macrolides,6,1.0471975511965976,101285.61052215184,3,0.07767117963941439,0.05897761625790858
S. aureus,ERY,Erythromycin,Macrolides,6,1.0471975511965976,101285.61052215184,4,0.06627402185501208,0.061002612578288574
S. aureus,ERY,Erythromycin,Macrolides,6,1.0471975511965976,101285.61052215184,5,-0.09274038728084978,0.05822313552965295
S. aureus,ERY,Erythromycin,Macrolides,6,1.0471975511965976,101285.61052215184,6,-0.08950155283609823,0.05611204562184779
S. aureus,ERY,Erythromycin,Macrolides,6,1.0471975511965976,101285.61052215184,7,0.020871917215455962,0.05315992087403514
S. aureus,ERY,Erythromycin,Macrolides,6,1.0471975511965976,101285.61052215184,8,0.02243051004085145,0.05163238127848057
S. aureus,ERY,Erythromycin,Macrolides,6,1.0471975511965976,101285.61052215184,9,0.03192291794231607,0.053521931178766004
S. aureus,ERY,Erythromycin,Macrolides,6,1.0471975511965976,101285.61052215184,10,0.009522519337381121,0.05434487304500527
S. aureus,ERY,Erythromycin,Macrolides,6,1.0471975511965976,101285.61052215184,11,-0.048971617601399044,0.05688207825326961
S. aureus,ERY,Erythromycin,Macrolides,6,1.0471975511965976,101285.61052215184,12,-0.013496132045270158,0.05776899057431894
S. aureus,ERY,Erythromycin,Macrolides,12,0.5235987755982988,101290.26744454303,1,-0.0305690826210398,0.060519329360145896
S. aureus,ERY,Erythromycin,Macrolides,12,0.5235987755982988,101290.26744454303,2,-0.025055336727930807,0.06315576383485146
S. aureus,ERY,Erythromycin,Macrolides,12,0.5235987755982988,101290.26744454303,3,0.04913971299221817,0.058977973715635866
S. aureus,ERY,Erythromycin,Macrolides,12,0.5235987755982988,101290.26744454303,4,0.04547061556171194,0.061002547403417505
S. aureus,ERY,Erythromycin,Macrolides,12,0.5235987755982988,101290.26744454303,5,-0.10567404804068684,0.05822295155106279
S. aureus,ERY,Erythromycin,Macrolides,12,0.5235987755982988,101290.26744454303,6,-0.09471320552339972,0.05611196102711318
S. aureus,ERY,Erythromycin,Macrolides,12,0.5235987755982988,101290.26744454303,7,0.023357425463348114,0.053159749108883485
S. aureus,ERY,Erythromycin,Macrolides,12,0.5235987755982988,101290.26744454303,8,0.032622747302927385,0.05163197201256017
S. aureus,ERY,Erythromycin,Macrolides,12,0.5235987755982988,101290.26744454303,9,0.0498479099682161,0.053522601937608896
S. aureus,ERY,Erythromycin,Macrolides,12,0.5235987755982988,101290.26744454303,10,0.03519498317093607,0.05434514026871173
S. aureus,ERY,Erythromycin,Macrolides,12,0.5235987755982988,101290.26744454303,11,-0.015447762722723326,0.056881942505944506
S. aureus,ERY,Erythromycin,Macrolides,12,0.5235987755982988,101290.26744454303,12,0.027732574962528986,0.057768515708941336
S. aureus,NIT,Nitrofurantoin,Nitrofurans,6,1.0471975511965976,25033.69998106753,1,-0.02292423842964829,0.014336746515997013
S. aureus,NIT,Nitrofurantoin,Nitrofurans,6,1.0471975511965976,25033.69998106753,2,0.01909592764961709,0.015427135552644104
S. aureus,NIT,Nitrofurantoin,Nitrofurans,6,1.0471975511965976,25033.69998106753,3,-9.159383210711885e-5,0.014265066791453349
S. aureus,NIT,Nitrofurantoin,Nitrofurans,6,1.0471975511965976,25033.69998106753,4,0.04058556183758677,0.014362304058372985
S. aureus,NIT,Nitrofurantoin,Nitrofurans,6,1.0471975511965976,25033.69998106753,5,0.003933202691430954,0.015395819777818889
S. aureus,NIT,Nitrofurantoin,Nitrofurans,6,1.0471975511965976,25033.69998106753,6,-0.021653697298712603,0.013481166614838943
S. aureus,NIT,Nitrofurantoin,Nitrofurans,6,1.0471975511965976,25033.69998106753,7,-0.042321582696655,0.013147945556509392
S. aureus,NIT,Nitrofurantoin,Nitrofurans,6,1.0471975511965976,25033.69998106753,8,-0.025698670057773064,0.012658087141205638
S. aureus,NIT,Nitrofurantoin,Nitrofurans,6,1.0471975511965976,25033.69998106753,9,-0.016319290303556902,0.012818363180666873
S. aureus,NIT,Nitrofurantoin,Nitrofurans,6,1.0471975511965976,25033.69998106753,10,0.010622517161954973,0.013051161395330977
S. aureus,NIT,Nitrofurantoin,Nitrofurans,6,1.0471975511965976,25033.69998106753,11,0.04431426365909939,0.014250650012919083
S. aureus,NIT,Nitrofurantoin,Nitrofurans,6,1.0471975511965976,25033.69998106753,12,0.031199326837217083,0.01388416880777026
S. aureus,NIT,Nitrofurantoin,Nitrofurans,12,0.5235987755982988,25022.100302190887,1,0.01758511844577386,0.014333214800583456
S. aureus,NIT,Nitrofurantoin,Nitrofurans,12,0.5235987755982988,25022.100302190887,2,0.0519846233606483,0.015424541958646206
S. aureus,NIT,Nitrofurantoin,Nitrofurans,12,0.5235987755982988,25022.100302190887,3,0.024878488307937412,0.014266283944444237
S. aureus,NIT,Nitrofurantoin,Nitrofurans,12,0.5235987755982988,25022.100302190887,4,0.057780764309130796,0.014363420763685986
S. aureus,NIT,Nitrofurantoin,Nitrofurans,12,0.5235987755982988,25022.100302190887,5,0.012354851834088352,0.015397560261657612
S. aureus,NIT,Nitrofurantoin,Nitrofurans,12,0.5235987755982988,25022.100302190887,6,-0.020536532914693643,0.013477980234625491
S. aureus,NIT,Nitrofurantoin,Nitrofurans,12,0.5235987755982988,25022.100302190887,7,-0.047846049082183074,0.013146658728951174
S. aureus,NIT,Nitrofurantoin,Nitrofurans,12,0.5235987755982988,25022.100302190887,8,-0.0384861536093386,0.01265870344531665
S. aureus,NIT,Nitrofurantoin,Nitrofurans,12,0.5235987755982988,25022.100302190887,9,-0.036427000613209956,0.01281883774336566
S. aureus,NIT,Nitrofurantoin,Nitrofurans,12,0.5235987755982988,25022.100302190887,10,-0.016759574463231147,0.013050171661664172
S. aureus,NIT,Nitrofurantoin,Nitrofurans,12,0.5235987755982988,25022.100302190887,11,0.009750643656264522,0.014254835190634446
S. aureus,NIT,Nitrofurantoin,Nitrofurans,12,0.5235987755982988,25022.100302190887,12,-0.010770321002029182,0.013883174006176054
