drug_class,omega,period,AIC,month,seasonal_deviate,sem
Tetracyclines,1.0471975511965976,6,-155.10877256873454,10,0.017569141777736996,0.010295161405452068
Tetracyclines,1.0471975511965976,6,-155.10877256873454,11,0.024774309918144943,0.030265864399152412
Tetracyclines,1.0471975511965976,6,-155.10877256873454,12,-0.042525998400386344,0.020678674817450286
Tetracyclines,0.5235987755982988,12,-161.2426194513131,1,-0.011549804397044982,0.011050624081721822
Tetracyclines,0.5235987755982988,12,-161.2426194513131,2,-0.04443953253341313,0.028848221366209625
Tetracyclines,0.5235987755982988,12,-161.2426194513131,3,-0.01801313295111746,0.012686050996208122
Tetracyclines,0.5235987755982988,12,-161.2426194513131,4,0.015899240584286534,0.013947069904539842
Tetracyclines,0.5235987755982988,12,-161.2426194513131,5,0.020948852147866636,0.011610009228101766
Tetracyclines,0.5235987755982988,12,-161.2426194513131,6,0.05152766347456308,0.025483446319776636
Tetracyclines,0.5235987755982988,12,-161.2426194513131,7,0.019762347082212604,0.02998961104140369
Tetracyclines,0.5235987755982988,12,-161.2426194513131,8,0.03731274341083694,0.010155179515917677
Tetracyclines,0.5235987755982988,12,-161.2426194513131,9,-0.0429077933294834,0.026310167288240302
Tetracyclines,0.5235987755982988,12,-161.2426194513131,10,0.01222830216116208,0.010295158522784962
Tetracyclines,0.5235987755982988,12,-161.2426194513131,11,0.017907516128717937,0.030265869621940493
Tetracyclines,0.5235987755982988,12,-161.2426194513131,12,-0.0509187463626653,0.02067866587599609
