organism,drug_code,drug_name,drug_class,omega,period,AIC,month,seasonal_deviate,sem
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,0.5235987755982988,12,66787.11683854624,4,0.0054647166029675055,0.03200213632618965
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,0.5235987755982988,12,66787.11683854624,5,-0.040359105343259004,0.028763861786262376
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,0.5235987755982988,12,66787.11683854624,6,0.008560394311025657,0.02706748377900641
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,0.5235987755982988,12,66787.11683854624,7,-0.04362442180528266,0.028173992142580675
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,0.5235987755982988,12,66787.11683854624,8,-0.038395477151585575,0.02620491568880622
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,0.5235987755982988,12,66787.11683854624,9,0.0425034934346994,0.025864035060652726
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,0.5235987755982988,12,66787.11683854624,10,-0.022909932452587857,0.027361406118051126
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,0.5235987755982988,12,66787.11683854624,11,0.07429020993457916,0.028323936823594728
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,0.5235987755982988,12,66787.11683854624,12,0.024546108093269504,0.02783788877735623
K. pneumoniae,TET,Tetracycline,Tetracyclines,1.0471975511965976,6,80220.44063238589,1,-0.01177376343741481,0.036841047138242856
K. pneumoniae,TET,Tetracycline,Tetracyclines,1.0471975511965976,6,80220.44063238589,2,0.04855431935105001,0.04169653191779786
K. pneumoniae,TET,Tetracycline,Tetracyclines,1.0471975511965976,6,80220.44063238589,3,-0.0010355964539275138,0.038222641361511635
K. pneumoniae,TET,Tetracycline,Tetracyclines,1.0471975511965976,6,80220.44063238589,4,0.06965313693773463,0.03958739046673228
K. pneumoniae,TET,Tetracycline,Tetracyclines,1.0471975511965976,6,80220.44063238589,5,-0.04098130762217786,0.03593809403344736
K. pneumoniae,TET,Tetracycline,Tetracyclines,1.0471975511965976,6,80220.44063238589,6,0.02391589578500614,0.03497709450717041
K. pneumoniae,TET,Tetracycline,Tetracyclines,1.0471975511965976,6,80220.44063238589,7,-0.00460853130725139,0.03330835428710425
K. pneumoniae,TET,Tetracycline,Tetracyclines,1.0471975511965976,6,80220.44063238589,8,0.035253161471164585,0.031836224075862014
K. pneumoniae,TET,Tetracycline,Tetracyclines,1.0471975511965976,6,80220.44063238589,9,0.027601507936969746,0.03318050008559396
K. pneumoniae,TET,Tetracycline,Tetracyclines,1.0471975511965976,6,80220.44063238589,10,-0.033787492921488575,0.0331839107423953
K. pneumoniae,TET,Tetracycline,Tetracyclines,1.0471975511965976,6,80220.44063238589,11,-0.01865603425482167,0.035630524160712586
K. pneumoniae,TET,Tetracycline,Tetracyclines,1.0471975511965976,6,80220.44063238589,12,0.018008969573947185,0.03581811346164662
K. pneumoniae,TET,Tetracycline,Tetracyclines,0.5235987755982988,12,80221.68864679389,1,-0.015056899392955701,0.03684163590266887
K. pneumoniae,TET,Tetracycline,Tetracyclines,0.5235987755982988,12,80221.68864679389,2,0.04577425121452092,0.04169671800407645
K. pneumoniae,TET,Tetracycline,Tetracyclines,0.5235987755982988,12,80221.68864679389,3,-0.0032965785367174206,0.03822191437060384
K. pneumoniae,TET,Tetracycline,Tetracyclines,0.5235987755982988,12,80221.68864679389,4,0.06791558190041706,0.039587234199957105
K. pneumoniae,TET,Tetracycline,Tetracyclines,0.5235987755982988,12,80221.68864679389,5,-0.04159248036220901,0.035936849113481446
K. pneumoniae,TET,Tetracycline,Tetracyclines,0.5235987755982988,12,80221.68864679389,6,0.023545526997456455,0.03497771377674349
K. pneumoniae,TET,Tetracycline,Tetracyclines,0.5235987755982988,12,80221.68864679389,7,-0.004611694287022262,0.03330918800353915
K. pneumoniae,TET,Tetracycline,Tetracyclines,0.5235987755982988,12,80221.68864679389,8,0.03556318441337182,0.03183645184864685
K. pneumoniae,TET,Tetracycline,Tetracyclines,0.5235987755982988,12,80221.68864679389,9,0.02831507916720567,0.03318048753392908
K. pneumoniae,TET,Tetracycline,Tetracyclines,0.5235987755982988,12,80221.68864679389,10,-0.03271282385391608,0.03318394947234348
K. pneumoniae,TET,Tetracycline,Tetracyclines,0.5235987755982988,12,80221.68864679389,11,-0.017154685832864947,0.03563005087903678
K. pneumoniae,TET,Tetracycline,Tetracyclines,0.5235987755982988,12,80221.68864679389,12,0.019873242316750566,0.035818923765387506
S. aureus,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,184799.83934773025,1,0.11455867884411877,0.028628189575360924
S. aureus,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,184799.83934773025,2,0.10848673813719137,0.029840912177704796
S. aureus,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,184799.83934773025,3,0.1565339284818026,0.028570750248069793
S. aureus,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,184799.83934773025,4,0.07462403955531714,0.02874159598408832
S. aureus,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,184799.83934773025,5,0.06139041678880481,0.027236688221444618
S. aureus,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,184799.83934773025,6,0.03191313946620395,0.026923473191388925
S. aureus,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,184799.83934773025,7,0.07941911397255332,0.026067214317010895
S. aureus,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,184799.83934773025,8,0.0601197024477863,0.02528863359088162
S. aureus,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,184799.83934773025,9,0.07199188664930264,0.025862649038729715
S. aureus,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,184799.83934773025,10,0.060704917805917386,0.02633710957538828
S. aureus,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,184799.83934773025,11,0.08390960380075535,0.027646371797339378
S. aureus,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,184799.83934773025,12,0.11422638573109457,0.02765736377568386
S. aureus,CIP,Ciprofloxacin,Quinolones,0.5235987755982988,12,184797.20070622882,1,0.11400638930557237,0.028628685740106567
S. aureus,CIP,Ciprofloxacin,Quinolones,0.5235987755982988,12,184797.20070622882,2,0.10784196657189787,0.02984145050666628
S. aureus,CIP,Ciprofloxacin,Quinolones,0.5235987755982988,12,184797.20070622882,3,0.1557875574046586,0.02857117549353931
S. aureus,CIP,Ciprofloxacin,Quinolones,0.5235987755982988,12,184797.20070622882,4,0.07376625517097149,0.028742174429345596
S. aureus,CIP,Ciprofloxacin,Quinolones,0.5235987755982988,12,184797.20070622882,5,0.0595945236859593,0.02723684370017534
S. aureus,CIP,Ciprofloxacin,Quinolones,0.5235987755982988,12,184797.20070622882,6,0.030180900958567073,0.026922833872664215
S. aureus,CIP,Ciprofloxacin,Quinolones,0.5235987755982988,12,184797.20070622882,7,0.07776412567817338,0.02606795597009657
S. aureus,CIP,Ciprofloxacin,Quinolones,0.5235987755982988,12,184797.20070622882,8,0.05861128132192802,0.025288718889542178
S. aureus,CIP,Ciprofloxacin,Quinolones,0.5235987755982988,12,184797.20070622882,9,0.0706054154097018,0.02586297040995531
S. aureus,CIP,Ciprofloxacin,Quinolones,0.5235987755982988,12,184797.20070622882,10,0.05947502401041937,0.026337484157038862
