drug_class,i,j,x,y,scale,amplitude,power,p.value,coi_raw,coi,sig
Quinolones,8,18,8,1.85,3.4425231861209054,0.10220591981828855,0.01044605004590243,0.98,3.3738885508087666,3.3738885508087666,0
Quinolones,8,19,8,1.9,3.563923504101635,0.052870394207362795,0.002795278583641941,0.98,3.3738885508087666,3.3738885508087666,0
Quinolones,8,20,8,1.9500000000000002,3.6896049950502747,0.07017653886372956,0.004924746606892545,0.98,3.3738885508087666,3.3738885508087666,0
Quinolones,8,21,8,2,3.8197186342054885,0.09660300928090948,0.009332141402127484,0.98,3.3738885508087666,3.3738885508087666,0
Quinolones,8,22,8,2.0500000000000003,3.954420720936236,0.10603297345285033,0.011242991459252862,0.97,3.3738885508087666,3.3738885508087666,0
Quinolones,8,23,8,2.1,4.093873066496817,0.09824942842933483,0.009652950186690988,0.96,3.3738885508087666,3.3738885508087666,0
Quinolones,8,24,8,2.15,4.238243188403094,0.0856724593176287,0.007339770285530742,0.96,3.3738885508087666,3.3738885508087666,0
Quinolones,8,25,8,2.2,4.387704511663366,0.09918154032816205,0.009836977941866835,0.96,3.3738885508087666,3.3738885508087666,0
Quinolones,8,26,8,2.25,4.542436577105643,0.15339067930861702,0.023528700498758996,0.93,3.3738885508087666,3.3738885508087666,0
Quinolones,8,27,8,2.3,4.702625257051561,0.23082771843348274,0.0532814355972072,0.81,3.3738885508087666,3.3738885508087666,0
Quinolones,8,28,8,2.35,4.868462978596023,0.31664571313845025,0.10026450764895772,0.69,3.3738885508087666,3.3738885508087666,0
Quinolones,8,29,8,2.4000000000000004,5.040148954760778,0.4008539157915703,0.16068386180543534,0.48,3.3738885508087666,3.3738885508087666,0
Quinolones,8,30,8,2.45,5.217889423799615,0.47537631174821054,0.2259826377713319,0.3,3.3738885508087666,3.3738885508087666,0
Quinolones,8,31,8,2.5,5.4018978969426374,0.5335231132868522,0.2846469124112953,0.24,3.3738885508087666,3.3738885508087666,0
Quinolones,8,32,8,2.55,5.592395414877217,0.5702576517993825,0.3251937894357458,0.16,3.3738885508087666,3.3738885508087666,0
Quinolones,8,33,8,2.6,5.789610813273731,0.5825968060247552,0.33941903839024623,0.15,3.3738885508087666,3.3738885508087666,0
Quinolones,8,34,8,2.65,5.993780997675044,0.569900293057682,0.32478634402723183,0.14,3.3738885508087666,3.3738885508087666,0
Quinolones,8,35,8,2.7,6.20515122807995,0.5339344915435146,0.28508604125983145,0.17,3.3738885508087666,3.3738885508087666,0
Quinolones,8,36,8,2.75,6.423975413562419,0.4786593655368253,0.22911478821611614,0.25,3.3738885508087666,3.3738885508087666,0
Quinolones,8,37,8,2.8,6.6505164172805795,0.4097403593903381,0.1678871621133234,0.35,3.3738885508087666,3.3738885508087666,0
Quinolones,8,38,8,2.85,6.885046372241811,0.33385529439456224,0.11145935759527982,0.49,3.3738885508087666,3.3738885508087666,0
Quinolones,8,39,8,2.9000000000000004,7.127847008203271,0.25796881734603117,0.06654791072290997,0.66,3.3738885508087666,3.3738885508087666,0
Quinolones,8,40,8,2.95,7.37920999010055,0.1889240090947493,0.03569228121243292,0.8,3.3738885508087666,3.3738885508087666,0
Quinolones,8,41,8,3,7.639437268410977,0.1340135646018298,0.01795963549728881,0.89,3.3738885508087666,3.3738885508087666,0
Quinolones,8,42,8,3.0500000000000003,7.9088414418724735,0.10263115046548081,0.010533153045868163,0.96,3.3738885508087666,3.3738885508087666,0
Quinolones,8,43,8,3.1,8.187746132993635,0.10148910004274694,0.010300037427486699,0.95,3.3738885508087666,3.3738885508087666,0
Quinolones,8,44,8,3.15,8.476486376806186,0.1216917198330954,0.014808874675936584,0.92,3.3738885508087666,3.3738885508087666,0
Quinolones,8,45,8,3.2,8.775409023326732,0.14985464272121443,0.02245641394510282,0.86,3.3738885508087666,3.3738885508087666,0
Quinolones,8,46,8,3.25,9.084873154211285,0.17935425840202737,0.03216795000694121,0.79,3.3738885508087666,3.3738885508087666,0
Quinolones,8,47,8,3.3000000000000003,9.405250514103123,0.207289999448892,0.04296914387152165,0.66,3.3738885508087666,3.3738885508087666,0
Quinolones,8,48,8,3.35,9.736925957192046,0.23181057595966284,0.05373614312675062,0.56,3.3738885508087666,3.3738885508087666,0
Quinolones,8,49,8,3.400000000000001,10.080297909521558,0.251405604849115,0.06320477814954938,0.47,3.3738885508087666,3.3738885508087666,0
Quinolones,8,50,8,3.45,10.43577884759923,0.264876566753356,0.07015959561504506,0.4,3.3738885508087666,3.3738885508087666,0
Quinolones,8,51,8,3.5,10.803795793885275,0.27141835736424746,0.07366792471430633,0.34,3.3738885508087666,3.3738885508087666,0
Quinolones,8,52,8,3.5500000000000003,11.184790829754435,0.270654041632144,0.07325361025181433,0.31,3.3738885508087666,3.3738885508087666,0
Quinolones,8,53,8,3.6,11.579221626547461,0.26261610740059094,0.0689672198662387,0.3,3.3738885508087666,3.3738885508087666,0
Quinolones,8,54,8,3.6500000000000004,11.98756199535009,0.24770984309924157,0.06136016636825089,0.3,3.3738885508087666,3.3738885508087666,0
Quinolones,8,55,8,3.7,12.4103024561599,0.22669593522466674,0.051391047047386305,0.33,3.3738885508087666,3.3738885508087666,0
Quinolones,8,56,8,3.75,12.847950827124839,0.20072183579012717,0.040289255362958784,0.44,3.3738885508087666,3.3738885508087666,0
Quinolones,8,57,8,3.8000000000000003,13.301032834561163,0.17143652062875886,0.029390480605294863,0.52,3.3738885508087666,3.3738885508087666,0
Quinolones,8,58,8,3.85,13.770092744483621,0.14126359104438183,0.019955402154754352,0.58,3.3738885508087666,3.3738885508087666,0
Quinolones,8,59,8,3.9000000000000004,14.255694016406544,0.11397476794796968,0.012990247728793532,0.69,3.3738885508087666,3.3738885508087666,0
Quinolones,8,60,8,3.95,14.7584199802011,0.09538832977945434,0.009098933458113936,0.76,3.3738885508087666,3.3738885508087666,0
Quinolones,8,61,8,4,15.278874536821954,0.09165378536964303,0.00840041637258459,0.79,3.3738885508087666,3.3738885508087666,0
Quinolones,8,62,8,4.050000000000001,15.817682883744947,0.10263984586433925,0.010534937959055319,0.74,3.3738885508087666,3.3738885508087666,0
