org,drug_code,drug_name,drug_class,period,month,seasonal_deviate,sem
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,12,7,-0.04917643615696609,0.028202079791717446
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,12,8,-0.03299384616575433,0.026356637831407917
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,12,9,0.0266525798016911,0.0259444981269133
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,12,10,-0.03171768471330279,0.027504235976392507
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,12,11,0.07996816558406447,0.028397699659955113
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,12,12,0.019910574265346873,0.028041692222314864
K. pneumoniae,TET,Tetracycline,Tetracyclines,6,1,-0.01609170659705459,0.03689812072842689
K. pneumoniae,TET,Tetracycline,Tetracyclines,6,2,0.0408607461836469,0.04175580016002226
K. pneumoniae,TET,Tetracycline,Tetracyclines,6,3,-0.004945289275283575,0.03823679182938086
K. pneumoniae,TET,Tetracycline,Tetracyclines,6,4,0.05839607714008876,0.04000625436517276
K. pneumoniae,TET,Tetracycline,Tetracyclines,6,5,-0.053482537321025765,0.03588347364886364
K. pneumoniae,TET,Tetracycline,Tetracyclines,6,6,0.009382064504341142,0.03514246940024829
K. pneumoniae,TET,Tetracycline,Tetracyclines,6,7,-0.01786116591833355,0.033150361776999523
K. pneumoniae,TET,Tetracycline,Tetracyclines,6,8,0.03391890835306402,0.03176285268222227
K. pneumoniae,TET,Tetracycline,Tetracyclines,6,9,0.02222709258196138,0.033167588691069276
K. pneumoniae,TET,Tetracycline,Tetracyclines,6,10,-0.04559186697138085,0.03313053701948484
K. pneumoniae,TET,Tetracycline,Tetracyclines,6,11,-0.014307769917954568,0.035280235229992046
K. pneumoniae,TET,Tetracycline,Tetracyclines,6,12,3.300990937019955e-4,0.03555116727448273
